epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,5.8832,1.87377,0.41453,0.92949,1.61395,0.000299517,0.000299517,0.000299517
2,8.66828,1.26482,0.73291,0.94658,0.90758,0.000590587,0.000590587,0.000590587
3,11.2732,0.50856,0.82265,0.97863,0.56429,0.000869659,0.000869659,0.000869659
4,14.0383,0.40712,0.8312,0.98718,0.58273,0.000855005,0.000855005,0.000855005
5,16.6906,0.30051,0.91239,0.96795,0.41812,0.000837007,0.000837007,0.000837007
6,19.4016,0.23321,0.86538,0.98932,0.47286,0.000819009,0.000819009,0.000819009
7,21.93,0.15495,0.88675,0.99359,0.3423,0.000801011,0.000801011,0.000801011
8,24.5444,0.1817,0.91667,0.96368,0.31825,0.000783013,0.000783013,0.000783013
9,27.0947,0.13195,0.92735,0.97436,0.30816,0.000765014,0.000765014,0.000765014
10,29.653,0.11142,0.90812,0.98077,0.40862,0.000747016,0.000747016,0.000747016
11,32.224,0.11529,0.92735,1,0.25717,0.000729018,0.000729018,0.000729018
12,34.7807,0.07346,0.9188,0.98077,0.42114,0.00071102,0.00071102,0.00071102
13,37.2971,0.05736,0.94231,1,0.18936,0.000693022,0.000693022,0.000693022
14,39.8746,0.08785,0.92735,0.98932,0.32476,0.000675023,0.000675023,0.000675023
15,42.5892,0.05676,0.9359,0.99145,0.25873,0.000657025,0.000657025,0.000657025
16,45.171,0.11955,0.91667,0.98077,0.48961,0.000639027,0.000639027,0.000639027
17,47.8207,0.04776,0.91667,0.96154,0.47081,0.000621029,0.000621029,0.000621029
18,50.5118,0.04542,0.9359,0.96795,0.33669,0.000603031,0.000603031,0.000603031
19,53.1414,0.05735,0.9359,0.95299,0.44916,0.000585032,0.000585032,0.000585032
20,55.8993,0.01907,0.92521,0.98718,0.34831,0.000567034,0.000567034,0.000567034
21,58.5881,0.0327,0.94231,0.99359,0.20299,0.000549036,0.000549036,0.000549036
22,61.268,0.04055,0.92949,0.97863,0.3114,0.000531038,0.000531038,0.000531038
23,63.8311,0.01939,0.92949,0.99573,0.30085,0.00051304,0.00051304,0.00051304
24,66.3968,0.03605,0.92949,0.98504,0.32061,0.000495041,0.000495041,0.000495041
25,68.973,0.03217,0.94872,0.99359,0.21933,0.000477043,0.000477043,0.000477043
26,71.6605,0.02312,0.9359,0.99573,0.29108,0.000459045,0.000459045,0.000459045
27,74.3381,0.03492,0.9359,0.99359,0.27328,0.000441047,0.000441047,0.000441047
28,76.9809,0.018,0.93376,0.97222,0.36773,0.000423049,0.000423049,0.000423049
29,79.6389,0.0416,0.94017,0.97863,0.28926,0.00040505,0.00040505,0.00040505
30,82.2413,0.01817,0.93803,0.97222,0.35667,0.000387052,0.000387052,0.000387052
31,84.8352,0.01757,0.93162,0.9765,0.38216,0.000369054,0.000369054,0.000369054
32,87.4918,0.02957,0.94231,0.98077,0.28809,0.000351056,0.000351056,0.000351056
33,90.3369,0.03375,0.94872,0.9765,0.30396,0.000333058,0.000333058,0.000333058
34,93.0492,0.03584,0.94658,0.98077,0.2971,0.000315059,0.000315059,0.000315059
35,95.5969,0.02524,0.94231,0.97863,0.33462,0.000297061,0.000297061,0.000297061
36,98.1974,0.01768,0.94872,0.97863,0.27294,0.000279063,0.000279063,0.000279063
37,100.745,0.00929,0.94658,0.97436,0.30044,0.000261065,0.000261065,0.000261065
38,103.297,0.02677,0.94017,0.97863,0.33793,0.000243067,0.000243067,0.000243067
39,105.875,0.0175,0.94444,0.99145,0.25284,0.000225068,0.000225068,0.000225068
40,108.448,0.01634,0.93803,0.97436,0.31299,0.00020707,0.00020707,0.00020707
41,112.084,0.01953,0.93803,0.96795,0.33766,0.000189072,0.000189072,0.000189072
42,114.562,0.02198,0.93376,0.96795,0.35083,0.000171074,0.000171074,0.000171074
43,117.112,0.01245,0.94017,0.98077,0.26664,0.000153076,0.000153076,0.000153076
44,119.562,0.00765,0.94444,0.98718,0.24347,0.000135077,0.000135077,0.000135077
45,122.138,0.01894,0.94231,0.98504,0.29042,0.000117079,0.000117079,0.000117079
46,124.74,0.02441,0.94444,0.97863,0.30346,9.9081e-05,9.9081e-05,9.9081e-05
47,127.341,0.0045,0.94444,0.97222,0.31364,8.10828e-05,8.10828e-05,8.10828e-05
48,129.836,0.00484,0.94231,0.97009,0.33466,6.30846e-05,6.30846e-05,6.30846e-05
49,132.336,0.01377,0.94444,0.98077,0.2925,4.50864e-05,4.50864e-05,4.50864e-05
50,134.822,0.0089,0.94231,0.97222,0.30969,2.70882e-05,2.70882e-05,2.70882e-05
