epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,8.76722,1.91215,0.70423,0.92958,1.43567,0.000274713,0.000274713,0.000274713
2,12.7379,1.21993,0.73592,0.95246,0.90622,0.000541442,0.000541442,0.000541442
3,15.9099,0.72699,0.77113,0.9912,0.62707,0.000797176,0.000797176,0.000797176
4,19.3719,0.47464,0.81162,0.97359,0.63814,0.00078352,0.00078352,0.00078352
5,22.7245,0.32965,0.82746,0.98239,0.58842,0.000767026,0.000767026,0.000767026
6,26.0283,0.29681,0.85035,0.97007,0.56871,0.000750533,0.000750533,0.000750533
7,29.6228,0.15061,0.89261,0.97887,0.40051,0.00073404,0.00073404,0.00073404
8,33.0255,0.21542,0.87676,0.97183,0.46875,0.000717546,0.000717546,0.000717546
9,36.3147,0.15622,0.89965,0.97535,0.40173,0.000701053,0.000701053,0.000701053
10,39.5979,0.1147,0.88908,0.98415,0.43024,0.000684559,0.000684559,0.000684559
11,42.5471,0.13706,0.89437,0.96479,0.48015,0.000668066,0.000668066,0.000668066
12,46.2522,0.10631,0.89437,0.98768,0.53988,0.000651573,0.000651573,0.000651573
13,50.2417,0.12935,0.90493,0.98239,0.37689,0.000635079,0.000635079,0.000635079
14,54.1111,0.07119,0.91197,0.96303,0.38631,0.000618586,0.000618586,0.000618586
15,57.5275,0.08498,0.89437,0.97359,0.52169,0.000602092,0.000602092,0.000602092
16,60.9133,0.05172,0.90669,0.98063,0.39853,0.000585599,0.000585599,0.000585599
17,64.3386,0.05372,0.92254,0.98944,0.2644,0.000569106,0.000569106,0.000569106
18,67.6798,0.03786,0.90669,0.97359,0.44432,0.000552612,0.000552612,0.000552612
19,71.0128,0.03894,0.91901,0.99472,0.33268,0.000536119,0.000536119,0.000536119
20,74.7334,0.08271,0.91725,0.96479,0.4809,0.000519625,0.000519625,0.000519625
21,78.0025,0.04231,0.89789,0.95775,0.51659,0.000503132,0.000503132,0.000503132
22,81.4507,0.06852,0.91549,0.95775,0.45328,0.000486639,0.000486639,0.000486639
23,84.919,0.04362,0.91901,0.95599,0.44877,0.000470145,0.000470145,0.000470145
24,88.9558,0.04714,0.92254,0.97007,0.46309,0.000453652,0.000453652,0.000453652
25,93.0097,0.04232,0.91197,0.96479,0.49759,0.000437158,0.000437158,0.000437158
26,96.866,0.03695,0.9331,0.98768,0.21638,0.000420665,0.000420665,0.000420665
27,100.261,0.01729,0.91549,0.97007,0.46816,0.000404172,0.000404172,0.000404172
28,103.802,0.05326,0.91549,0.97183,0.38391,0.000387678,0.000387678,0.000387678
29,107.51,0.03294,0.92254,0.96303,0.52725,0.000371185,0.000371185,0.000371185
30,111.055,0.03874,0.92958,0.96831,0.3667,0.000354691,0.000354691,0.000354691
31,114.383,0.03159,0.93134,0.97887,0.32125,0.000338198,0.000338198,0.000338198
32,117.814,0.0166,0.9243,0.98239,0.3766,0.000321705,0.000321705,0.000321705
33,121.391,0.02395,0.92782,0.96655,0.41095,0.000305211,0.000305211,0.000305211
34,124.715,0.02095,0.91197,0.94542,0.56373,0.000288718,0.000288718,0.000288718
35,128.247,0.03455,0.92606,0.97359,0.35351,0.000272224,0.000272224,0.000272224
36,132.173,0.02271,0.92254,0.95423,0.51591,0.000255731,0.000255731,0.000255731
37,136.189,0.01611,0.93134,0.98063,0.35388,0.000239238,0.000239238,0.000239238
38,139.867,0.01772,0.92606,0.95599,0.46335,0.000222744,0.000222744,0.000222744
39,143.312,0.02654,0.93134,0.97887,0.28839,0.000206251,0.000206251,0.000206251
40,146.684,0.02488,0.9243,0.97535,0.40694,0.000189757,0.000189757,0.000189757
41,150.913,0.02232,0.92782,0.97711,0.33265,0.000173264,0.000173264,0.000173264
42,154.402,0.03209,0.92958,0.97359,0.31924,0.000156771,0.000156771,0.000156771
43,157.764,0.01607,0.92606,0.97535,0.33985,0.000140277,0.000140277,0.000140277
44,161.035,0.01804,0.92254,0.96303,0.44419,0.000123784,0.000123784,0.000123784
45,164.503,0.02349,0.93134,0.96831,0.36507,0.00010729,0.00010729,0.00010729
46,167.986,0.00739,0.92782,0.97535,0.38697,9.0797e-05,9.0797e-05,9.0797e-05
47,171.699,0.01644,0.92254,0.96831,0.43207,7.43036e-05,7.43036e-05,7.43036e-05
48,175.42,0.01764,0.92606,0.97359,0.37505,5.78102e-05,5.78102e-05,5.78102e-05
49,179.295,0.01533,0.92606,0.96831,0.41132,4.13168e-05,4.13168e-05,4.13168e-05
50,183.02,0.01847,0.92606,0.96303,0.44022,2.48234e-05,2.48234e-05,2.48234e-05
